year,gender,team,opponent,playerNum,playerName,setsPlayed,atkPts,atkErrors,atkTotal,atkPtsPer,assists,servePts,serveErrors,recErrors,digs,blkPts,blkAst,blkErrors,BHE,totalPts,isMale
2009,Female,Toronto,RMC,4,R. Crosier,2,7,1,12,0.5,2,2,1,0,6,0,0,0,0,9,0
2009,Female,Toronto,RMC,8,K. Diesing,3,11,3,25,0.32,1,0,1,0,10,0,0,0,0,11,0
2009,Female,Toronto,RMC,10,K. Valjas,3,3,2,10,0.1,0,1,1,0,6,0,1,0,0,4,0
2009,Female,Toronto,RMC,11,S. Rossall,1,0,2,4,-0.5,0,0,0,0,0,1,1,0,0,1,0
2009,Female,Toronto,RMC,15,L. Willoughby,3,7,1,12,0.5,0,3,0,0,7,3,0,0,0,13,0
2009,Female,Toronto,RMC,2,K. Rossal,2,5,2,8,0.375,1,0,0,0,3,1,0,0,0,6,0
2009,Female,Toronto,RMC,5,L. Ebenhardt,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
2009,Female,Toronto,RMC,6,A. Hudson,2,3,0,4,0.75,1,3,0,0,3,0,0,0,0,6,0
2009,Female,Toronto,RMC,16,T. Cuthbert,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
2009,Female,Toronto,RMC,17,A. Sweetman,3,4,0,11,0.364,0,0,0,0,2,1,0,0,0,5,0
2009,Female,Guelph,Windsor,4,Brooke Lloyd,4,10,5,28,0.179,0,4,1,0,8,0,0,0,0,14,0
2009,Female,Guelph,Windsor,7,Melissa Mcginn,4,0,0,0,0.0,46,0,0,0,11,0,2,0,0,0,0
2009,Female,Guelph,Windsor,10,Kaitlyn Krizmanich,2,1,3,8,-0.25,0,1,2,0,1,0,0,0,0,2,0
2009,Female,Guelph,Windsor,11,Claire Sandor,4,8,1,22,0.318,0,2,1,1,11,1,2,0,0,11,0
2009,Female,Guelph,Windsor,14,Erinn Bickle,4,8,2,14,0.429,2,5,0,0,2,0,4,0,0,13,0
2009,Female,Guelph,Windsor,15,Kylen Van osch,4,21,2,35,0.543,2,2,0,0,6,1,0,0,0,24,0
2009,Female,Guelph,Windsor,1,Naomi Fukudome,1,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0
2009,Female,Guelph,Windsor,2,Lauren Watson,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
2009,Female,Guelph,Windsor,8,Megan Canavan,4,0,0,0,0.0,0,0,0,3,15,0,0,0,0,0,0
2009,Female,Guelph,Windsor,9,Chloe Deutscher,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0
2009,Female,Guelph,Windsor,12,Jenny Vance,3,4,2,20,0.1,0,1,0,0,7,0,0,0,0,5,0
2009,Female,Guelph,Windsor,17,Erin Mccormick,1,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0
2009,Female,Windsor,Guelph,8,Michelle Pierce,4,6,2,16,0.25,0,0,2,0,2,1,4,0,0,7,0
2009,Female,Windsor,Guelph,10,Jennifer Ellig,4,12,5,42,0.167,0,1,0,4,7,0,0,0,0,13,0
2009,Female,Windsor,Guelph,12,Ana Vrcelj,4,6,3,16,0.188,1,3,1,0,5,0,1,0,0,9,0
2009,Female,Windsor,Guelph,14,Mackenzie Leckie,4,0,1,7,-0.143,0,1,0,1,4,0,1,0,0,1,0
2009,Female,Windsor,Guelph,15,Kaila Seguin,4,16,7,28,0.321,2,1,0,2,18,0,1,0,0,17,0
2009,Female,Windsor,Guelph,17,Jillian Fantuz,4,3,0,4,0.75,38,1,1,0,8,0,3,0,0,4,0
2009,Female,Windsor,Guelph,2,Milana McNamee,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
2009,Female,Windsor,Guelph,3,Jovana Stranatic,3,0,0,0,0.0,2,0,0,1,9,0,0,0,0,0,0
2009,Female,Windsor,Guelph,4,Jessica Shepley,1,0,1,1,-1.0,0,0,0,0,1,0,0,0,0,0,0
2009,Female,Windsor,Guelph,6,Jessica Beltran,1,0,0,0,0.0,0,0,0,4,0,0,0,0,0,0,0
2009,Female,Windsor,Guelph,7,Mackenzie Coyle,3,2,1,6,0.167,0,0,0,0,0,0,0,0,0,2,0
2009,Female,Laurier,Ottawa,2,Victoria Cowley,4,0,1,3,-0.333,1,0,0,3,13,0,0,0,0,0,0
2009,Female,Laurier,Ottawa,3,Alexandra Hyde,4,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0
2009,Female,Laurier,Ottawa,4,Sarah Rosso,3,2,0,9,0.222,0,0,1,1,4,0,0,0,0,2,0
2009,Female,Laurier,Ottawa,5,Julie Gordon,4,6,5,20,0.05,0,4,3,0,6,2,0,1,0,12,0
2009,Female,Laurier,Ottawa,7,Alexandra Mingay,1,1,1,2,0.0,0,0,0,0,1,0,0,0,0,1,0
2009,Female,Laurier,Ottawa,8,T Andrew-Wasylik,4,10,7,37,0.081,3,0,1,0,22,0,0,0,0,10,0
2009,Female,Laurier,Ottawa,9,Brittany Brunt,2,2,0,3,0.667,11,0,0,0,5,0,0,0,0,2,0
2009,Female,Laurier,Ottawa,11,Lauren Carter,2,2,0,5,0.4,21,1,4,0,7,0,0,0,0,3,0
2009,Female,Laurier,Ottawa,13,Megan Gilmore,3,2,3,12,-0.083,0,0,0,0,2,0,0,0,0,2,0
2009,Female,Laurier,Ottawa,14,Brittney Hopley,3,2,1,11,0.091,0,0,1,0,1,0,0,2,0,2,0
2009,Female,Laurier,Ottawa,15,Victoria Altomare,3,4,7,26,-0.115,0,0,0,0,6,2,0,0,0,6,0
2009,Female,Laurier,Ottawa,16,Kaitlin Sauder,4,10,7,37,0.081,2,1,1,2,19,0,0,0,0,11,0
2009,Female,Ottawa,Laurier,3,Christina Grail,4,0,0,0,0.0,5,0,0,0,4,0,0,0,0,0,0
2009,Female,Ottawa,Laurier,4,Kaely Whillans,4,3,1,17,0.118,1,0,1,0,1,4,0,0,0,7,0
